hand_category,ABB,A[K/Q]x,A[J-T][9-5],A[J-T][4-2],A[9-7]x,A[6-2]x,BBB,BBx,K/Qx dis,K/Qx con,[J-8]x dis,[J-8]x con,[7-4]x
Two pair+,C,C,C,C,C,C/R,C,C/R,R,R,R,R,R
Overpair,—,—,—,—,—,—,C,C,C/R,C/R,C,C,C
Top pair,C,C,C,C,C,C,C,C,C,C,C,C,C/R
Underpair,C,C,C,C,C,C,C,C,C,C,C,C,C
Second pair,C,C,F/C,C,C/R,R,C,C,C/R,C/R,C,C,C
Third pair,C,R,C/R,C,C/R,R,C,C,C/R,C/R,C/R,C,C
Weak pair,F,F,F,F,F/C,C,F,F,F/C,F,F/C,F,C
OESD,C,C,C/R,—,C,C,F/C,C,R,R,R,R,R
Gutshot,F,C,C,C,C,C,F,C,C/R,C/R,R,C/R,C/R
2 overcards + BDFD,—,—,—,—,—,—,—,—,C,C,C,F/C,F/C
Air,F,F,F,F,F,F,F,F,F,F,F,F,F
