hand_category,ABB,A[K/Q]x,A[J-T][9-5],A[J-T][4-2],A[9-7]x,A[6-2]x,BBB,BBx,K/Qx dis,K/Qx con,[J-8]x dis,[J-8]x con,[7-4]x
Two pair+,B,B,B,B,B,B,B,B,B,B,B,B,B
Overpair,—,—,—,—,—,—,B,B,B,B,B,B,X/B
Top pair,B,B,X/B,X/B,X/B,X/B,B,B,X/B,X/B,X/B,X/B,B
Underpair,B,X,X,X,X,X,B,X/B,X,X,X,X/B,B
Second pair,B,X/B,X/B,X,B,B,X/B,X/B,B,B,X/B,X/B,B
Third pair,B,B,B,B,B,B,X/B,B,X/B,X,X/B,X,X/B
Weak pair,B,X/B,X/B,X/B,X/B,B,B,X/B,X,X,X,X,X
OESD,B,B,B,—,B,B,B,B,B,B,B,B,B
Gutshot,B,B,B,B,B,B,B,B,B,B,B,B,X/B
2 overcards + BDFD,—,—,—,—,—,—,—,—,X,X,X/B,X,X/B
Air,X/B,X/B,X/B,X/B,X/B,X/B,X/B,B,X/B,X/B,X/B,X/B,X/B
